Date,Platform,CTR (%),Impressions,Likes,Shares,Comments,Sales Revenue ($),Conversion Rate (%),Ad Spend ($),ROI (%),Positive Sentiment (%),Neutral Sentiment (%),Negative Sentiment (%)
2022-01-01,Google Ads,1.13,168882,9429,331,2406,75989.55,8.7,9499.17,699.96,46,20,34
2022-01-01,Facebook Ads,1.43,179926,8496,3222,1262,91536.47,1.6,17151.48,433.69,64,32,4
2022-01-01,Instagram Ads,2.57,211453,1907,4078,2154,20734.99,0.66,35372.06,-41.38,68,21,11
2022-01-01,Twitter Ads,4.58,319919,3258,3864,382,58920.44,5.99,9232.33,538.2,64,37,-1
2022-01-01,LinkedIn Ads,4.43,363436,9645,127,237,51968.96,10.24,18750.77,177.16,40,30,30
2022-01-01,TikTok Ads,4.2,492614,8141,685,1061,67869.81,14.04,18269.74,271.49,52,46,2
2022-01-02,Google Ads,3.05,23644,9270,2155,1635,20131.53,13.86,37739.59,-46.66,53,26,21
2022-01-02,Facebook Ads,3.16,353660,8132,4814,1649,31961.83,15.0,18292.56,74.73,42,44,14
2022-01-02,Instagram Ads,2.97,414270,9710,3279,1292,21799.33,4.37,47930.01,-54.52,58,44,-2
2022-01-02,Twitter Ads,2.14,111466,2039,611,1960,55165.45,11.44,23451.99,135.23,48,30,22
2022-01-02,LinkedIn Ads,1.29,154992,717,2693,725,89085.02,13.27,26099.25,241.33,64,41,-5
2022-01-02,TikTok Ads,1.58,196327,1675,854,1127,54826.88,9.12,29357.67,86.75,43,27,30
2022-01-03,Google Ads,4.63,113357,5561,4598,2632,41819.62,4.36,24188.96,72.89,67,36,-3
2022-01-03,Facebook Ads,0.91,494081,8455,3023,2453,82355.96,11.43,14094.22,484.32,52,33,15
2022-01-03,Instagram Ads,2.74,227607,9100,1447,904,9829.49,6.5,3257.9,201.71,56,40,4
2022-01-03,Twitter Ads,3.97,445598,9687,3511,2748,63689.34,13.08,4601.59,1284.07,68,35,-3
2022-01-03,LinkedIn Ads,1.5,433551,9896,3472,2284,58650.8,4.35,8010.87,632.14,42,37,21
2022-01-03,TikTok Ads,3.98,319499,3942,4637,211,7128.53,5.6,39143.6,-81.79,65,23,12
2022-01-04,Google Ads,1.23,101190,1824,2222,1411,75580.75,13.51,18359.08,311.68,55,48,-3
2022-01-04,Facebook Ads,4.6,461448,9201,1668,480,97140.18,10.6,44159.36,119.98,68,47,-15
2022-01-04,Instagram Ads,4.19,59446,5579,128,1937,84759.26,12.26,43309.67,95.71,64,46,-10
2022-01-04,Twitter Ads,2.35,139219,8351,807,695,21916.4,6.6,15729.91,39.33,40,36,24
2022-01-04,LinkedIn Ads,1.82,428909,6684,4798,1939,45020.13,11.97,2997.65,1401.85,45,49,6
2022-01-04,TikTok Ads,4.63,245373,9399,129,1261,4433.72,1.98,37724.52,-88.25,51,33,16
2022-01-05,Google Ads,1.96,23681,7958,2435,589,6578.13,4.73,37289.48,-82.36,49,43,8
2022-01-05,Facebook Ads,3.14,306004,643,1713,1489,1973.88,7.39,6320.03,-68.77,43,35,22
2022-01-05,Instagram Ads,4.98,46635,6768,1605,2217,93989.05,13.59,12052.08,679.86,64,24,12
2022-01-05,Twitter Ads,4.36,183529,1492,492,78,9696.69,9.99,20726.91,-53.22,67,27,6
2022-01-05,LinkedIn Ads,2.93,214589,1310,3764,384,29567.12,7.23,34444.84,-14.16,51,41,8
2022-01-05,TikTok Ads,1.91,121160,3117,4211,44,79346.9,13.16,33302.35,138.26,43,46,11
2022-01-06,Google Ads,2.8,291123,1963,954,2402,12529.91,9.13,9587.93,30.68,43,27,30
2022-01-06,Facebook Ads,2.89,385140,2014,3109,1164,25694.66,9.42,4128.39,522.39,55,27,18
2022-01-06,Instagram Ads,2.97,373264,6771,221,1095,30667.15,6.87,17861.33,71.7,51,21,28
2022-01-06,Twitter Ads,3.56,271642,3700,219,558,75418.72,6.76,38701.71,94.87,47,25,28
